商品,订单号,订单状态,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家编码-规格维度,商家编码-商品维度,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260228-322038679150358,已发货，待收货,584.0	,0.0	,5.84	,0.0	,0.0	,578.16	,578.16	,2	,2026-02-28 21:56:08,	,822868315610	,"DC8753-100【收藏关注优先发货】,42【正品保障 支持鉴定】",1789416839728	,	,	,	,售后处理中,78581872730178	,中通快递,2026-02-28 10:00:49,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260228-147817766540754,已发货，待收货,292.0	,0.0	,5.0	,0.0	,0.0	,287.0	,287.0	,1	,2026-02-28 21:56:08,	,822868315610	,"DC8753-100【收藏关注优先发货】,43【正品保障 支持鉴定】",1789416839730	,	,	,	,无售后或售后取消,78581872730203	,中通快递,2026-02-28 02:21:59,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260228-009017792140754,已发货，待收货,584.0	,0.0	,5.84	,0.0	,0.0	,578.16	,578.16	,2	,2026-02-28 21:56:08,	,822868315610	,"DC8753-100【收藏关注优先发货】,44【正品保障 支持鉴定】",1789416839731	,	,	,	,无售后或售后取消,78581872730203	,中通快递,2026-02-28 02:21:25,否,,	,
adidas阿迪达斯 ADILENIUM百搭logo条纹时尚牛仔裤蓝色 JY6292,260227-160757246312102,已发货，退款成功,594.0	,0.0	,5.0	,40.0	,0.0	,549.0	,589.0	,1	,2026-02-27 22:27:40,	,903893490761	,"JY6292【收藏关注优先发货】,32 【正品保障 支持鉴定】",1858801613760	,	,	,	,退款成功,78581479316602	,中通快递,2026-02-27 20:54:03,否,,	,
Nike耐克 Zoom Rival S10短跑钉鞋训练舒适防滑耐磨DC8753-100,260227-278428393082163,已发货，待收货,292.0	,0.0	,5.0	,0.0	,0.0	,287.0	,287.0	,1	,2026-02-27 22:27:40,	,822868315610	,"DC8753-100【收藏关注优先发货】,43【正品保障 支持鉴定】",1789416839730	,	,	,	,售后处理中,78581479316592	,中通快递,2026-02-27 16:31:50,否,,	,
Adidas阿迪达斯 三叶草时尚厚底耐磨凉鞋 IE5651,260227-555619489324000,已收货,159.0	,0.0	,5.0	,13.86	,0.0	,140.14	,154.0	,1	,2026-02-27 22:27:40,2026-03-09 22:27:40,792058673878	,"IE5651,42",1769504186128	,	,	,	,无售后或售后取消,78581479315463	,中通快递,2026-02-27 11:58:09,否,,	,
adidas阿迪达斯男女BARREDA低帮复古耐磨防滑休闲鞋JQ4238,260226-039699136940188,已发货，退款成功,262.0	,0.0	,5.0	,23.13	,0.0	,233.87	,257.0	,1	,2026-02-27 12:10:01,	,783646754517	,"JQ4238【收藏关注优先发货】,38.5【正品保障 支持鉴定】",1813719991775	,	,	,	,退款成功,78581394649798	,中通快递,2026-02-26 14:06:41,否,,	,
Nike耐克女子DUNKLOW海盐蓝白耐磨运动休闲低帮板鞋 FB1843-141,260225-649037166980278,已发货，待收货,982.0	,0.0	,9.82	,3.0	,0.0	,969.18	,972.18	,2	,2026-02-26 13:53:13,	,806729270148	,37.5	,1779682257743	,	,	,	,无售后或售后取消,78581012977713	,中通快递,2026-02-25 23:30:26,否,,	,
adidas阿迪达斯 ADILENIUM百搭logo条纹时尚牛仔裤蓝色 JY6292,260225-233455040871133,已发货，退款成功,600.0	,0.0	,5.0	,47.6	,0.0	,547.4	,595.0	,1	,2026-02-25 15:14:49,	,903893490761	,"JY6292【收藏关注优先发货】,32 【正品保障 支持鉴定】",1858801613760	,	,	,	,退款成功,78580602274849	,中通快递,2026-02-25 03:22:31,否,,	,
adidas阿迪达斯男女BARREDA低帮复古耐磨防滑休闲鞋JQ4238,260224-527842752880190,已发货，退款成功,265.0	,0.0	,5.0	,9.0	,0.0	,251.0	,260.0	,1	,2026-02-25 15:14:49,	,783646754517	,"JQ4238【收藏关注优先发货】,38.5【正品保障 支持鉴定】",1813719991775	,	,	,	,退款成功,78580602271786	,中通快递,2026-02-24 19:33:52,否,,	,
Nike耐克黑白板鞋CourtVision1低帮可回收材料经典耐磨DH2987-001,260224-183773447762386,已发货，退款成功,320.0	,0.0	,5.0	,0.0	,0.0	,315.0	,315.0	,1	,2026-02-24 15:45:16,	,896110633104	,"DH2987-001【收藏关注优先发货】,42【正品保障 支持鉴定】",1851257019294	,	,	,	,退款成功,78580249112694	,中通快递,2026-02-24 10:38:03,否,,	,
adidas阿迪达斯男女BARREDA低帮复古耐磨防滑休闲鞋JQ4238,260224-469856489791751,已取消,269.0	,0.0	,0.0	,0.0	,0.0	,269.0	,269.0	,1	,	,	,783646754517	,"JQ4238【收藏关注优先发货】,38.5【正品保障 支持鉴定】",1813719991775	,	,	,	,无售后或售后取消,	,	,	,	,,	,
adidas阿迪达斯男女BARREDA低帮复古耐磨防滑休闲鞋JQ4238,260224-680630741311751,已收货,269.0	,0.0	,5.0	,13.2	,0.0	,250.8	,264.0	,1	,2026-02-24 15:45:16,2026-03-05 23:00:03,783646754517	,"JQ4238【收藏关注优先发货】,38.5【正品保障 支持鉴定】",1813719991775	,	,	,	,无售后或售后取消,78580249112852	,中通快递,2026-02-24 09:16:58,否,,	,
